Title,IMDB Rating,Director,Writer,Actors,Released,Genre
L.A. Confidential,8.2,Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson","Kevin Spacey, Russell Crowe, Guy Pearce",19 Sep 1997,"Crime, Drama, Mystery"
The Godfather,9.2,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan",24 Mar 1972,"Crime, Drama"
Casablanca,8.5,Michael Curtiz,"Julius J. Epstein, Howard Koch, Murray Burnett","Humphrey Bogart, Ingrid Bergman, Paul Henreid",23 Jan 1943,"Drama, Romance, War"
Seven Samurai,8.6,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Keiko Tsushima",19 Nov 1956,Drama
Parasite,8.5,Bong Joon Ho,"Bong Joon Ho, Han Jin-won","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",08 Nov 2019,"Drama, Thriller"
Schindler's List,9.0,Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley",04 Feb 1994,"Biography, Drama, History"
Top Gun: Maverick,8.2,Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller",27 May 2022,"Action, Drama"
Toy Story 2,7.9,"John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","Tom Hanks, Tim Allen, Joan Cusack",24 Nov 1999,"Animation, Adventure, Comedy"
Chinatown,8.1,Roman Polanski,"Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston",20 Jun 1974,"Drama, Mystery, Thriller"
On the Waterfront,8.1,Elia Kazan,"Budd Schulberg, Malcolm Johnson, Robert Siodmak","Marlon Brando, Karl Malden, Lee J. Cobb",22 Jun 1954,"Crime, Drama, Thriller"
The Battle of Algiers,8.1,Gillo Pontecorvo,"Franco Solinas, Gillo Pontecorvo","Brahim Hadjadj, Jean Martin, Yacef Saadi",20 Sep 1967,"Drama, War"
Toy Story,8.3,John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton","Tom Hanks, Tim Allen, Don Rickles",22 Nov 1995,"Animation, Adventure, Comedy"
Rear Window,8.5,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey",01 Sep 1954,"Mystery, Thriller"
Modern Times,8.5,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",25 Feb 1936,"Comedy, Drama, Romance"
How to Train Your Dragon,8.1,"Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",26 Mar 2010,"Animation, Action, Adventure"
All About Eve,8.2,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",27 Oct 1950,Drama
Spirited Away,8.6,Hayao Miyazaki,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",28 Mar 2003,"Animation, Adventure, Family"
Up,8.3,"Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger",23 Jul 2009,"Animation, Adventure, Comedy"
The Third Man,8.1,Carol Reed,"Graham Greene, Orson Welles, Alexander Korda","Orson Welles, Joseph Cotten, Alida Valli",01 Feb 1950,"Film-Noir, Mystery, Thriller"
Spotlight,8.1,Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams",20 Nov 2015,"Biography, Crime, Drama"
Spider-Man: Into the Spider-Verse,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld",14 Dec 2018,"Animation, Action, Adventure"
The Philadelphia Story,7.8,George Cukor,"Donald Ogden Stewart, Philip Barry, Waldo Salt","Cary Grant, Katharine Hepburn, James Stewart",17 Jan 1941,"Comedy, Romance"
Finding Nemo,8.2,"Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","Albert Brooks, Ellen DeGeneres, Alexander Gould",30 May 2003,"Animation, Adventure, Comedy"
Singin' in the Rain,8.3,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds",10 Apr 1952,"Comedy, Musical, Romance"
12 Angry Men,9.0,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam",10 Apr 1957,"Crime, Drama"
Toy Story 3,8.3,Lee Unkrich,"John Lasseter, Andrew Stanton, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack",18 Jun 2010,"Animation, Adventure, Comedy"
Sunset Boulevard,8.4,Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim",04 Aug 1950,"Drama, Film-Noir"
Coco,8.4,"Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",22 Nov 2017,"Animation, Adventure, Drama"
The Godfather Part II,9.0,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Al Pacino, Robert De Niro, Robert Duvall",18 Dec 1974,"Crime, Drama"
