Title,Year,Director,Writers,Actors,Genre,IMDb Rating,Rotten Tomatoes
L.A. Confidential,1997,Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson","Kevin Spacey, Russell Crowe, Guy Pearce","Crime, Drama, Mystery",8.2,99%
The Godfather,1972,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan","Crime, Drama",9.2,97%
Casablanca,1942,Michael Curtiz,"Julius J. Epstein, Howard Koch, Murray Burnett","Humphrey Bogart, Ingrid Bergman, Paul Henreid","Drama, Romance, War",8.5,99%
Seven Samurai,1954,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Keiko Tsushima",Drama,8.6,100%
Parasite,2019,Bong Joon Ho,"Bong Joon Ho, Han Jin-won","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","Drama, Thriller",8.5,99%
Schindler's List,1993,Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley","Biography, Drama, History",9.0,98%
Top Gun: Maverick,2022,Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller","Action, Drama",8.2,96%
Toy Story 2,1999,"John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","Tom Hanks, Tim Allen, Joan Cusack","Animation, Adventure, Comedy",7.9,100%
Chinatown,1974,Roman Polanski,"Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston","Drama, Mystery, Thriller",8.1,98%
On the Waterfront,1954,Elia Kazan,"Budd Schulberg, Malcolm Johnson, Robert Siodmak","Marlon Brando, Karl Malden, Lee J. Cobb","Crime, Drama, Thriller",8.1,99%
The Battle of Algiers,1966,Gillo Pontecorvo,"Franco Solinas, Gillo Pontecorvo","Brahim Hadjadj, Jean Martin, Yacef Saadi","Drama, War",8.1,99%
Toy Story,1995,John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton","Tom Hanks, Tim Allen, Don Rickles","Animation, Adventure, Comedy",8.3,100%
Rear Window,1954,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","Mystery, Thriller",8.5,98%
Modern Times,1936,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman","Comedy, Drama, Romance",8.5,98%
How to Train Your Dragon,2010,"Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","Animation, Action, Adventure",8.1,99%
All About Eve,1950,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",Drama,8.2,99%
Spirited Away,2001,Hayao Miyazaki,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","Animation, Adventure, Family",8.6,96%
Up,2009,"Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger","Animation, Adventure, Comedy",8.3,98%
The Third Man,1949,Carol Reed,"Graham Greene, Orson Welles, Alexander Korda","Orson Welles, Joseph Cotten, Alida Valli","Film-Noir, Mystery, Thriller",8.1,99%
Spotlight,2015,Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams","Biography, Crime, Drama",8.1,97%
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld","Animation, Action, Adventure",8.4,97%
The Philadelphia Story,1940,George Cukor,"Donald Ogden Stewart, Philip Barry, Waldo Salt","Cary Grant, Katharine Hepburn, James Stewart","Comedy, Romance",7.8,100%
Finding Nemo,2003,"Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","Albert Brooks, Ellen DeGeneres, Alexander Gould","Animation, Adventure, Comedy",8.2,99%
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds","Comedy, Musical, Romance",8.3,100%
12 Angry Men,1957,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama",9.0,100%
Toy Story 3,2010,Lee Unkrich,"John Lasseter, Andrew Stanton, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack","Animation, Adventure, Comedy",8.3,98%
